9980
         10697584 function calls (10694032 primitive calls) in 10.308 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  3924646    3.489    0.000    3.489    0.000 Main.py:123(PointDistance)
  2781972    1.720    0.000    4.178    0.000 Main.py:162(distanceTo)
    57600    1.445    0.000    9.768    0.000 Main.py:35(Ray)
   927324    0.947    0.000    5.125    0.000 Main.py:170(<listcomp>)
   869724    0.931    0.000    6.138    0.000 Main.py:138(MINdistance)
   927324    0.542    0.000    5.667    0.000 Main.py:168(distanceList)
   136537    0.177    0.000    1.348    0.000 Main.py:134(MINdistanceObjLamp)
    57600    0.154    0.000    0.623    0.000 Main.py:151(MAXdistance)
      180    0.099    0.001    9.979    0.055 Main.py:228(<listcomp>)
    66366    0.081    0.000    0.140    0.000 {built-in method builtins.sum}
   205391    0.081    0.000    0.081    0.000 {built-in method builtins.min}
    66366    0.074    0.000    0.214    0.000 Main.py:109(dotproduct)
   265464    0.059    0.000    0.059    0.000 Main.py:110(<genexpr>)
    22122    0.050    0.000    0.320    0.000 Main.py:115(angle)
    57600    0.041    0.000    0.112    0.000 Main.py:230(normalice)
      107    0.038    0.000    0.038    0.000 {built-in method numpy.array}
      316    0.038    0.000    0.038    0.000 {built-in method builtins.compile}
    44244    0.037    0.000    0.172    0.000 Main.py:112(length)
      156    0.031    0.000    0.031    0.000 {built-in method marshal.loads}
    35/34    0.019    0.001    0.021    0.001 {built-in method _imp.create_dynamic}
    22122    0.013    0.000    0.013    0.000 Main.py:128(NormalEsf)
        2    0.011    0.006    0.011    0.006 {method 'encode' of 'ImagingEncoder' objects}
61676/61430    0.011    0.000    0.011    0.000 {built-in method builtins.len}
  359/358    0.010    0.000    0.017    0.000 {built-in method builtins.__build_class__}
    44245    0.010    0.000    0.010    0.000 {built-in method math.sqrt}
    22122    0.009    0.000    0.009    0.000 {built-in method math.acos}
      828    0.006    0.000    0.006    0.000 {built-in method posix.stat}
    22122    0.006    0.000    0.006    0.000 {built-in method math.cos}
      384    0.006    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
    22194    0.005    0.000    0.005    0.000 {built-in method builtins.abs}
   195/12    0.005    0.000    0.269    0.022 <frozen importlib._bootstrap>:663(_load_unlocked)
   121/35    0.004    0.000    0.011    0.000 sre_parse.py:475(_parse)
      156    0.004    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      156    0.004    0.000    0.004    0.000 {method 'read' of '_io.FileIO' objects}
      612    0.003    0.000    0.004    0.000 _inspect.py:67(getargs)
     1953    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     4336    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
    484/1    0.003    0.000   10.310   10.310 {built-in method builtins.exec}
     3084    0.003    0.000    0.003    0.000 {built-in method builtins.hasattr}
        1    0.003    0.003   10.053   10.053 Main.py:234(main)
      316    0.003    0.000    0.060    0.000 overrides.py:166(decorator)
      156    0.003    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:793(get_code)
     1953    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      331    0.002    0.000    0.004    0.000 functools.py:37(update_wrapper)
      286    0.002    0.000    0.011    0.000 overrides.py:72(verify_matching_signatures)
      201    0.002    0.000    0.033    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     7998    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
    35/25    0.002    0.000    0.012    0.000 {built-in method _imp.exec_dynamic}
      312    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      516    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     2133    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
   227/33    0.002    0.000    0.005    0.000 sre_compile.py:71(_compile)
      836    0.002    0.000    0.002    0.000 {built-in method __new__ of type object at 0x55f831388260}
   206/12    0.002    0.000    0.272    0.023 <frozen importlib._bootstrap>:978(_find_and_load)
      616    0.002    0.000    0.002    0.000 _inspect.py:28(isfunction)
      516    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
        7    0.002    0.000    0.004    0.001 enum.py:135(__new__)
      613    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      197    0.002    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      195    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      516    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
   913/38    0.002    0.000    0.263    0.007 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     2499    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
     1822    0.001    0.000    0.001    0.000 sre_parse.py:233(__next)
      616    0.001    0.000    0.008    0.000 _inspect.py:98(getargspec)
   206/12    0.001    0.000    0.272    0.023 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
      273    0.001    0.000    0.007    0.000 function_base.py:460(add_newdoc)
     1565    0.001    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
