         201548903 function calls (201542178 primitive calls) in 332.444 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
201104520  251.002    0.000  251.002    0.000 Main.py:397(CreateRay)
        1   78.771   78.771  332.160  332.160 Main.py:345(Main)
     1988    1.623    0.001    1.623    0.001 {built-in method pygame.display.update}
        2    0.109    0.055    0.615    0.308 {built-in method pygame.display.set_mode}
     3979    0.089    0.000    0.089    0.000 {built-in method builtins.print}
      190    0.050    0.000    0.050    0.000 {built-in method marshal.loads}
      316    0.035    0.000    0.035    0.000 {built-in method builtins.compile}
     5630    0.034    0.000    0.034    0.000 {built-in method posix.stat}
     1988    0.032    0.000    0.032    0.000 {built-in method pygame.event.get}
    68/64    0.031    0.000    0.039    0.001 {built-in method _imp.create_dynamic}
        1    0.023    0.023    0.023    0.023 {built-in method pygame.display.flip}
   500/94    0.023    0.000    0.071    0.001 sre_parse.py:475(_parse)
     2644    0.020    0.000    0.053    0.000 version.py:198(__init__)
     1080    0.018    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:1356(find_spec)
      589    0.017    0.000    0.017    0.000 {built-in method posix.listdir}
  555/551    0.016    0.000    0.083    0.000 {built-in method builtins.__build_class__}
    13230    0.013    0.000    0.013    0.000 sre_parse.py:233(__next)
     1322    0.011    0.000    0.012    0.000 version.py:343(_cmpkey)
   850/88    0.010    0.000    0.028    0.000 sre_compile.py:71(_compile)
    29844    0.009    0.000    0.010    0.000 {built-in method builtins.isinstance}
     1322    0.009    0.000    0.024    0.000 version.py:131(_legacy_cmpkey)
     7401    0.008    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
     2644    0.008    0.000    0.008    0.000 {method 'search' of 're.Pattern' objects}
    11851    0.008    0.000    0.020    0.000 sre_parse.py:254(get)
      341    0.008    0.000    0.011    0.000 sre_compile.py:276(_optimize_charset)
     7401    0.008    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     5796    0.007    0.000    0.013    0.000 version.py:114(_parse_version_parts)
  995/242    0.007    0.000    0.008    0.000 sre_parse.py:174(getwidth)
     7558    0.006    0.000    0.010    0.000 version.py:65(_compare)
     5829    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
      580    0.006    0.000    0.083    0.000 __init__.py:2578(from_location)
     6728    0.006    0.000    0.006    0.000 {built-in method builtins.getattr}
      190    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1160    0.005    0.000    0.115    0.000 __init__.py:2124(distributions_from_metadata)
     1404    0.005    0.000    0.008    0.000 posixpath.py:75(join)
    531/1    0.005    0.000  332.448  332.448 {built-in method builtins.exec}
9562/9558    0.005    0.000    0.007    0.000 {method 'join' of 'str' objects}
     3977    0.005    0.000    0.005    0.000 {built-in method time.time}
      190    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
       14    0.005    0.000    0.090    0.006 {built-in method builtins.sorted}
      580    0.005    0.000    0.010    0.000 __init__.py:685(add)
      179    0.005    0.000    0.005    0.000 {built-in method io.open}
    18650    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
    13812    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
     1902    0.004    0.000    0.058    0.000 version.py:24(parse)
14744/13770    0.004    0.000    0.005    0.000 {built-in method builtins.len}
      278    0.004    0.000    0.047    0.000 <frozen importlib._bootstrap>:882(_find_spec)
4236/4227    0.004    0.000    0.004    0.000 {built-in method builtins.hasattr}
      594    0.004    0.000    0.063    0.000 __init__.py:2191(_handle_ns)
    10100    0.004    0.000    0.004    0.000 {method 'startswith' of 'str' objects}
      176    0.004    0.000    0.004    0.000 {method 'splitlines' of 'str' objects}
       22    0.004    0.000    0.008    0.000 __init__.py:316(namedtuple)
     1326    0.004    0.000    0.004    0.000 {method 'split' of 're.Pattern' objects}
    16058    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
